Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
STER	0	Sterling Check	Software-Infrastructure	"1.94B
"
STET	0	ST Energy Transition I	Blank Check / SPAC	"294.48M
"
STFC	0	State Auto Financial	Insurance	"2.31B
"
STG	0	Sunlands Technology Group	Diversified Consumer Services	"55.72M
"
STGW	0	Stagwell	Advertising Agencies	"843.35M
"
STIM	0	Neuronetics	Health Care Equipment & Supplies	"95.45M
"
STKL	0	SunOpta	Food Products	"567.82M
"
STKS	0	The ONE Group Hospitality	"""Hotels, Restaurants & Leisure"""	"408.09M
"
STLA	0	Stellantis	Automobiles	"61.49B
"
STLD	0	Steel Dynamics	Metals & Mining	"11.43B
"
STM	0	STMicroelectronics	Semiconductors & Semiconductor Equipment	"42.70B
"
STN	0	Stantec	Professional Services	"5.91B
"
STNG	0	Scorpio Tankers	"""Oil, Gas & Consumable Fuels"""	"850.44M
"
STOK	0	Stoke Therapeutics	Biotechnology	"693.72M
"
STON	0	StoneMor	Diversified Consumer Services	"286.88M
"
STOR	0	STORE Capital	Equity Real Estate Investment Trusts...	"8.63B
"
STRA	0	Strategic Education	Diversified Consumer Services	"1.48B
"
STRC	0	Sarcos Technology & Robotics	Computer Hardware	"915.66M
"
STRE	0	Supernova Partners Acquisition Company III	Blank Check / SPAC	"341.46M
"
STRL	0	Sterling Construction Company	Construction & Engineering	"788.09M
"
STRM	0	Streamline Health Solutions	Health Care Technology	"65.69M
"
STRN	0	Stran & Company	Advertising Agencies	"42.41M
"
STRO	0	Sutro Biopharma	Biotechnology	"491.85M
"
STRR	0	Star Equity Holdings	Diagnostics & Research	"19.70M
"
STRS	0	Stratus Properties	Real Estate Management & Development	"330.55M
"
STRT	0	STRATTEC Security	Auto Components	"154.27M
"
STSA	0	Satsuma Pharmaceuticals	Pharmaceuticals	"167.74M
"
STT	0	State Street	Capital Markets	"35.32B
"
STTK	0	Shattuck Labs	Biotechnology	"295.30M
"
STVN	0	Stevanato Group S.p.A.	Medical Instruments & Supplies	"4.73B
"
STWD	0	Starwood Property Trust	Mortgage Real Estate Investment Trus...	"7.58B
"
STXB	0	Spirit of Texas Bancshares	Banks	"481.99M
"
STXS	0	Stereotaxis	Health Care Equipment & Supplies	"407.96M
"
STZ	0	Constellation Brands	Beverages	"44.18B
"
SUAC	0	ShoulderUp Technology Acquisition	Blank Check / SPAC	"411.94M
"
SUI	0	Sun Communities	Equity Real Estate Investment Trusts...	"21.88B
"
SUMO	0	Sumo Logic	Software	"1.35B
"
SUMR	0	Summer Infant	Leisure Products	"19.22M
"
SUN	0	Sunoco LP	"""Oil, Gas & Consumable Fuels"""	"3.89B
"
SUNL	0	Sunlight Financial Holdings	Credit Services	"254.45M
"
SUNS	0	SLR Senior Investment	Capital Markets	"226.29M
"
SUNW	0	Sunworks	Electrical Equipment	"66.31M
"
SUP	0	Superior Industries International	Auto Components	"114.33M
"
SUPN	0	Supernus Pharmaceuticals	Pharmaceuticals	"1.69B
"
SUPV	0	Grupo Supervielle	Banks	"373.53M
"
SURG	0	SurgePays	Wireless Telecommunication Services	"36.14M
"
SUZ	0	Suzano	Paper & Forest Products	"15.25B
"
SV	0	Spring Valley Acquisition	Blank Check / SPAC	"287.79M
"
SVC	0	Service Properties Trust	Equity Real Estate Investment Trusts...	"1.45B
"
SVFA	0	SVF Investment	Shell Companies	"737.71M
"
SVFB	0	SVF Investment 2	Blank Check / SPAC	"288.31M
"
SVFC	0	SVF Investment 3	Shell Companies	"403.83M
"
SVFD	0	Save Foods	Agricultural Inputs	"12.21M
"
SVM	0	Silvercorp Metals	Metals & Mining	"586.13M
"
SVNA	0	7 Acquisition	Blank Check / SPAC	"247.75M
"
SVRA	0	Savara	Biotechnology	"140.63M
"
SVT	0	Servotronics	Electrical Equipment	"34.58M
"
SVVC	0	Firsthand Technology Value Fund	Securities and Commodity Exchanges	"27.16M
"
SWAG	0	"""Software Acquisition Group, Inc. III"""	Blank Check / SPAC	"247.25M
"
