Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
APVO	0	Aptevo Therapeutics	Biotechnology	"29.39M
"
APWC	0	Asia Pacific Wire & Cable	Electrical Equipment	"21.42M
"
APXI	0	APx Acquisition I	Blank Check / SPAC	"187.50M
"
APYX	0	Apyx Medical	Health Care Equipment & Supplies	"378.47M
"
AQB	0	AquaBounty Technologies	Biotechnology	"125.01M
"
AQMS	0	Aqua Metals	Commercial Services & Supplies	"76.12M
"
AQN	0	Algonquin Power & Utilities	Multi-Utilities	"9.53B
"
AQST	0	Aquestive Therapeutics	Pharmaceuticals	"114.07M
"
AQUA	0	Evoqua Water Technologies	Machinery	"4.99B
"
ARAV	0	Aravive	Biotechnology	"46.29M
"
ARAY	0	Accuray	Health Care Equipment & Supplies	"348.68M
"
ARBE	0	Arbe Robotics	Software-Infrastructure	"507.65M
"
ARBG	0	Aequi Acquisition	Blank Check / SPAC	"280.95M
"
ARBK	0	Argo Blockchain	Capital Markets	"485.40M
"
ARCB	0	ArcBest	Road & Rail	"2.39B
"
ARCE	0	Arco Platform	Diversified Consumer Services	"1.22B
"
ARCH	0	Arch Resources	"""Oil, Gas & Consumable Fuels"""	"1.58B
"
ARCK	0	Arbor Rapha Capital Bioholdings I	Blank Check / SPAC	"188.91M
"
ARCO	0	Arcos Dorados Holdings	"""Hotels, Restaurants & Leisure"""	"1.44B
"
ARCT	0	Arcturus Therapeutics Holdings	Biotechnology	"700.13M
"
ARDS	0	Aridis Pharmaceuticals	Biotechnology	"28.39M
"
ARDX	0	Ardelyx	Biotechnology	"94.55M
"
AREC	0	American Resources	"""Oil, Gas & Consumable Fuels"""	"117.91M
"
ARES	0	Ares Management	Capital Markets	"13.28B
"
ARGO	0	Argo Group International Holdings	Insurance	"1.98B
"
ARGU	0	Argus Capital	Blank Check / SPAC	"325.21M
"
ARGX	0	Argenx SE	Biotechnology	"14.46B
"
ARHS	0	Arhaus	Home Improvement Retail	"1.27B
"
ARI	0	Apollo Commercial Real Estate Finance	Mortgage Real Estate Investment Trus...	"1.90B
"
ARIS	0	Aris Water Solutions	Utilities-Regulated Water	"254.53M
"
ARIZ	0	Arisz Acquisition	Blank Check / SPAC	"79.06M
"
ARKO	0	ARKO Corp.	Grocery Stores	"1.07B
"
ARKR	0	Ark Restaurants	"""Hotels, Restaurants & Leisure"""	"56.75M
"
ARL	0	American Realty Investors	Real Estate Management & Development	"239.37M
"
ARLO	0	Arlo Technologies	"""Electronic Equipment, Instruments & C..."""	"728.35M
"
ARLP	0	Alliance Resource Partners	"""Oil, Gas & Consumable Fuels"""	"1.80B
"
ARMK	0	Aramark	"""Hotels, Restaurants & Leisure"""	"8.86B
"
ARMP	0	Armata Pharmaceuticals	Biotechnology	"135.43M
"
ARNA	0	Arena Pharmaceuticals	Biotechnology	"5.71B
"
ARNC	0	Arconic	Aerospace & Defense	"3.36B
"
AROC	0	Archrock	Energy Equipment & Services	"1.32B
"
AROW	0	Arrow Financial	Banks	"564.79M
"
ARQQ	0	Arqit Quantum	Software-Infrastructure	"1.96B
"
ARQT	0	Arcutis Biotherapeutics	Biotechnology	"779.58M
"
ARRW	0	Arrowroot Acquisition	Blank Check / SPAC	"348.20M
"
ARTA	0	Artisan Acquisition	Blank Check / SPAC	"437.42M
"
ARTE	0	Artemis Strategic Investment	Blank Check / SPAC	"249.55M
"
ARTL	0	Artelo Biosciences	Pharmaceuticals	"17.52M
"
ARTNA	0	Artesian Resources	Water Utilities	"442.04M
"
ARTW	0	Art's-Way Manufacturing Co.	Machinery	"15.46M
"
ARVN	0	Arvinas	Pharmaceuticals	"3.71B
"
ARW	0	Arrow Electronics	"""Electronic Equipment, Instruments & C..."""	"8.66B
"
ARWR	0	Arrowhead Pharmaceuticals	Biotechnology	"5.81B
"
ARYD	0	ARYA Sciences Acquisition IV	Blank Check / SPAC	"188.80M
"
ARYE	0	Arya Sciences Acquisition V	Blank Check / SPAC	"187.07M
"
ASAI	0	Sendas Distribuidora	Food & Staples Retailing	"3.22B
"
ASAQ	0	Atlantic Street Acquisition	Blank Check / SPAC	"306.87M
"
ASAX	0	Astrea Acquisition	Blank Check / SPAC	"219.49M
"
ASB	0	Associated Banc-Corp	Banks	"3.66B
"
ASGN	0	ASGN Incorporated	Professional Services	"6.03B
"
ASH	0	Ashland Global Holdings	Chemicals	"5.45B
"
ASIX	0	AdvanSix	Chemicals	"1.19B
"
ASLE	0	AerSale	Airports & Air Services	"743.06M
"
ASLN	0	ASLAN Pharmaceuticals	Biotechnology	"75.19M
"
ASM	0	Avino Silver & Gold Mines	Metals & Mining	"77.29M
"
ASMB	0	Assembly Biosciences	Biotechnology	"90.46M
"
ASND	0	Ascendis Pharma	Biotechnology	"6.90B
"
ASPA	0	Abri SPAC I	Blank Check / SPAC	"64.09M
"
ASPC	0	Alpha Capital Acquisition Company	Blank Check / SPAC	"283.76M
"
ASPN	0	Aspen Aerogels	Energy Equipment & Services	"986.09M
"
ASPS	0	Altisource Portfolio Solutions	Real Estate Management & Development	"176.70M
"
ASPU	0	Aspen Group	Diversified Consumer Services	"54.83M
"
ASR	0	Grupo Aeroportuario del Sureste	Transportation Infrastructure	"6.16B
"
ASRT	0	Assertio Holdings	Pharmaceuticals	"117.83M
"
ASRV	0	AmeriServ Financial	Banks	"71.23M
"
ASTC	0	Astrotech	Aerospace & Defense	"32.41M
"
ASTE	0	Astec Industries	Machinery	"1.48B
"
ASTL	0	Algoma Steel Group	Steel	"668.88M
"
ASUR	0	Asure Software	Software	"145.37M
"
ASXC	0	Asensus Surgical	Medical Devices	"213.63M
"
ASYS	0	Amtech Systems	Semiconductors & Semiconductor Equipment	"124.12M
"
ASZ	0	Austerlitz Acquisition II	Blank Check / SPAC	"1.92B
"
ATA	0	Americas Technology Acquisition	Blank Check / SPAC	"147.61M
"
ATAQ	0	Altimar Acquisition III	Blank Check / SPAC	"188.82M
"
ATAX	0	America First Multifamily Investors LP	Thrifts & Mortgage Finance	"458.22M
"
ATC	0	Atotech	Electronic Components	"4.77B
"
ATCO	0	Atlas	Marine	"3.67B
"
ATCX	0	Atlas Technical Consultants	Engineering & Construction	"338.18M
"
ATEC	0	Alphatec Holdings	Health Care Equipment & Supplies	"1.03B
"
ATEK	0	Athena Technology Acquisition II	Blank Check / SPAC	"346.65M
"
ATEN	0	A10 Networks	Software	"1.15B
"
ATEX	0	Anterix	Wireless Telecommunication Services	"932.46M
"
ATGE	0	Adtalem Global Education	Diversified Consumer Services	"1.46B
"
ATHA	0	Athira Pharma	Biotechnology	"394.05M
"
ATHE	0	Alterity Therapeutics	Biotechnology	"37.55M
"
ATHM	0	Autohome	Interactive Media & Services	"4.23B
"
ATIF	0	ATIF Holdings	Professional Services	"38.13M
"
ATIP	0	ATI Physical Therapy	Medical Care Facilities	"629.24M
"
ATKR	0	Atkore	Electrical Equipment	"4.92B
"
ATLC	0	Atlanticus Holdings	Consumer Finance	"1.01B
"
ATLO	0	Ames National	Banks	"222.39M
"
ATNF	0	180 Life Sciences	Biotechnology	"111.40M
"
ATNI	0	ATN International	Diversified Telecommunication Services	"612.70M
"
ATNM	0	Actinium Pharmaceuticals	Biotechnology	"119.41M
"
ATNX	0	Athenex	Biotechnology	"116.97M
"
ATO	0	Atmos Energy	Gas Utilities	"14.10B
"
ATR	0	AptarGroup	Containers & Packaging	"7.73B
"
ATRA	0	Atara Biotherapeutics	Biotechnology	"1.39B
"
ATRC	0	AtriCure	Health Care Equipment & Supplies	"3.03B
"
ATRI	0	Atrion	Health Care Equipment & Supplies	"1.11B
"
ATRO	0	Astronics	Aerospace & Defense	"376.94M
"
ATRS	0	Antares Pharma	Health Care Equipment & Supplies	"581.54M
"
ATSG	0	Air Transport Services Group	Air Freight & Logistics	"2.05B
"
ATSP	0	Archimedes Tech SPAC Partners Co.	Blank Check / SPAC	"153.37M
"
ATTO	0	Atento	Commercial Services & Supplies	"352.60M
"
ATUS	0	Altice USA	Media	"6.89B
"
ATVC	0	Tribe Capital Growth I	Blank Check / SPAC	"334.30M
"
ATXI	0	Avenue Therapeutics	Pharmaceuticals	"16.03M
"
ATXS	0	Astria Therapeutics	Biotechnology	"72.72M
"
ATY	0	AcuityAds Holdings	Interactive Media & Services	"177.67M
"
AUB	0	Atlantic Union Bankshares	Banks	"3.13B
"
AUBN	0	Auburn National Bancorporation	Banks	"118.60M
"
AUDC	0	AudioCodes	Communications Equipment	"978.19M
"
AUGX	0	Augmedix	Health Information Services	"91.97M
"
AUID	0	Ipsidy	Software-Infrastructure	"164.30M
"
AUMN	0	Golden Minerals Company	Metals & Mining	"59.59M
"
AURA	0	Aura Biosciences	Biotechnology	"517.62M
"
AURC	0	Aurora Acquisition	Blank Check / SPAC	"345.07M
"
AUTL	0	Autolus Therapeutics	Biotechnology	"311.34M
"
AUTO	0	AutoWeb	Interactive Media & Services	"37.97M
"
AUUD	0	Auddia	Software-Application	"21.73M
"
AUVI	0	Applied UV	Building Products	"23.72M
"
AUY	0	Yamana Gold	Metals & Mining	"3.97B
"
AVA	0	Avista	Multi-Utilities	"3.14B
"
AVAC	0	Avalon Acquisition	Blank Check / SPAC	"216.66M
"
AVAH	0	Aveanna Healthcare Holdings	Medical Care Facilities	"977.91M
"
AVAL	0	Grupo Aval Acciones y Valores	Banks	"6.17B
"
AVAN	0	Avanti Acquisition	Blank Check / SPAC	"737.25M
"
AVAV	0	AeroVironment	Aerospace & Defense	"1.43B
"
AVB	0	AvalonBay Communities	Equity Real Estate Investment Trusts...	"34.16B
"
AVCO	0	Avalon GloboCare	Health Care Providers & Services	"71.55M
"
AVCT	0	American Virtual Cloud Technologies	IT Services	"103.59M
"
AVD	0	American Vanguard	Chemicals	"471.43M
"
AVDL	0	Avadel Pharmaceuticals	Pharmaceuticals	"371.65M
"
AVDX	0	AvidXchange Holdings	Software-Infrastructure	"2.21B
"
AVEO	0	AVEO Pharmaceuticals	Biotechnology	"129.93M
"
AVGR	0	Avinger	Health Care Equipment & Supplies	"30.77M
"
AVHI	0	Achari Ventures Holdings I	Blank Check / SPAC	"123.13M
"
AVID	0	Avid Technology	"""Technology Hardware, Storage & Periph..."""	"1.40B
"
AVIR	0	Atea Pharmaceuticals	Pharmaceuticals	"604.99M
"
AVLR	0	Avalara	Software	"9.65B
"
AVNS	0	Avanos Medical	Health Care Equipment & Supplies	"1.46B
"
AVNT	0	Avient	Chemicals	"4.63B
"
AVNW	0	Aviat Networks	Communications Equipment	"328.63M
"
AVO	0	Mission Produce	Farm Products	"990.25M
"
AVPT	0	AvePoint	Software-Infrastructure	"1.11B
"
AVRO	0	Avrobio	Biotechnology	"85.12M
"
AVT	0	Avnet	"""Electronic Equipment, Instruments & C..."""	"4.02B
"
AVTE	0	Aerovate Therapeutics	Biotechnology	"258.99M
"
AVTR	0	Avantor	Life Sciences Tools & Services	"23.17B
"
AVTX	0	Avalo Therapeutics	Biotechnology	"112.32M
"
AVXL	0	Anavex Life Sciences	Biotechnology	"839.24M
"
AVY	0	Avery Dennison	Containers & Packaging	"17.09B
"
AVYA	0	Avaya Holdings	Software	"1.53B
"
AWH	0	Aspira Women's Health	Health Care Equipment & Supplies	"139.04M
"
AWI	0	Armstrong World Industries	Building Products	"4.68B
"
AWK	0	American Water Works Company	Water Utilities	"28.81B
"
AWR	0	American States Water Company	Water Utilities	"3.32B
"
AWRE	0	Aware	Software	"61.88M
"
AWX	0	Avalon Holdings	Commercial Services & Supplies	"13.30M
"
AX	0	Axos Financial	Thrifts & Mortgage Finance	"3.12B
"
AXDX	0	Accelerate Diagnostics	Life Sciences Tools & Services	"222.93M
"
AXGN	0	Axogen	Health Care Equipment & Supplies	"357.44M
"
AXH	0	Industrial Human Capital	Blank Check / SPAC	"123.88M
"
AXL	0	American Axle & Manufacturing Holdings	Auto Components	"985.49M
"
AXLA	0	Axcella Health	Biotechnology	"69.47M
"
AXNX	0	Axonics	Health Care Equipment & Supplies	"2.30B
"
AXON	0	Axon Enterprise	Aerospace & Defense	"9.86B
"
AXR	0	AMREP	Commercial Services & Supplies	"88.04M
"
AXS	0	AXIS Capital Holdings	Insurance	"4.86B
"
AXSM	0	Axsome Therapeutics	Pharmaceuticals	"1.08B
"
AXTA	0	Axalta Coating Systems	Chemicals	"6.65B
"
AXTI	0	AXT Inc.	Semiconductors & Semiconductor Equipment	"319.50M
"
AXU	0	Alexco Resource	Commercial Services & Supplies	"234.43M
"
AYI	0	Acuity Brands	Electrical Equipment	"6.80B
"
AYLA	0	Ayala Pharmaceuticals	Biotechnology	"85.14M
"
AYRO	0	"""AYRO, Inc."""	Auto Manufacturers	"47.56M
"
AYTU	0	Aytu BioPharma	Pharmaceuticals	"37.72M
"
AYX	0	Alteryx	Software	"3.78B
"
AZ	0	A2Z Smart Technologies	Aerospace & Defense	"139.29M
"
AZEK	0	The AZEK Company	Building Products	"5.35B
"
AZPN	0	Aspen Technology	Software	"10.05B
"
AZRE	0	Azure Power Global	Independent Power and Renewable Elect...	"899.51M
"
AZTA	0	Azenta	Medical Instruments & Supplies	"6.41B
"
AZUL	0	Azul S.A.	Airlines	"1.89B
"
AZYO	0	Aziyo Biologics	Medical Devices	"81.49M
"
BACA	0	Berenson Acquisition I	Blank Check / SPAC	"302.19M
"
BAFN	0	BayFirst Financial	Banks-Regional	"83.19M
"
BAK	0	Braskem	Chemicals	"7.86B
"
BALY	0	Bally's	"""Hotels, Restaurants & Leisure"""	"1.97B
"
BANC	0	Banc of California	Banks	"1.22B
"
BAND	0	Bandwidth	Diversified Telecommunication Services	"1.56B
"
BANF	0	BancFirst	Banks	"2.45B
"
BANR	0	Banner	Banks	"2.11B
"
BANX	0	StoneCastle Financial	Capital Markets	"155.39M
"
BAOS	0	Baosheng Media Group Holdings	Advertising Agencies	"23.70M
"
BAP	0	Credicorp	Banks	"10.98B
"
BASE	0	Couchbase	Software-Infrastructure	"1.05B
"
BATL	0	Battalion Oil	"""Oil, Gas & Consumable Fuels"""	"264.13M
"
BAX	0	Baxter International	Health Care Equipment & Supplies	"42.52B
"
BBAR	0	Banco BBVA Argentina	Banks	"680.05M
"
BBCP	0	Concrete Pumping Holdings	Construction & Engineering	"450.51M
"
BBD	0	Banco Bradesco	Banks	"42.05B
"
BBDC	0	Barings BDC	Capital Markets	"716.52M
"
BBGI	0	Beasley Broadcast Group	Media	"55.89M
"
BBI	0	Brickell Biotech	Biotechnology	"29.29M
"
BBIO	0	BridgeBio Pharma	Biotechnology	"1.59B
"
BBLG	0	Bone Biologics	Medical Devices	"22.05M
"
BBLN	0	Babylon Holdings	Health Information Services	"2.34B
"
BBSI	0	Barrett Business Services	Professional Services	"484.14M
"
BBU	0	Brookfield Business Partners	Construction & Engineering	"3.45B
"
BBVA	0	Banco Bilbao Vizcaya Argentaria	Banks	"42.36B
"
BBWI	0	Bath & Body Works	Specialty Retail	"14.51B
"
BCAB	0	BioAtla	Biotechnology	"349.57M
"
BCAC	0	Brookline Capital Acquisition	Blank Check / SPAC	"74.46M
"
BCBP	0	BCB Bancorp	Banks	"302.00M
"
BCDA	0	BioCardia	Biotechnology	"29.36M
"
BCEL	0	Atreca	Biotechnology	"79.87M
"
BCLI	0	Brainstorm Cell Therapeutics	Biotechnology	"116.82M
"
BCML	0	BayCom	Banks	"225.89M
"
BCO	0	The Brink's Company	Commercial Services & Supplies	"3.42B
"
BCOR	0	Blucora	Capital Markets	"799.47M
"
BCOV	0	Brightcove	IT Services	"384.20M
"
BCOW	0	1895 Bancorp of Wisconsin	Thrifts & Mortgage Finance	"72.86M
"
BCPC	0	Balchem	Chemicals	"4.70B
"
BCS	0	Barclays	Banks	"46.61B
"
BCSA	0	Blockchain Coinvestors Acquisition I	Blank Check / SPAC	"407.02M
"
BCTX	0	BriaCell Therapeutics	Biotechnology	"105.57M
"
BCYC	0	Bicycle Therapeutics	Biotechnology	"1.46B
"
BDC	0	Belden	"""Electronic Equipment, Instruments & C..."""	"2.56B
"
BDL	0	Flanigan's Enterprises	"""Hotels, Restaurants & Leisure"""	"55.03M
"
BDN	0	Brandywine Realty Trust	Equity Real Estate Investment Trusts...	"2.23B
"
BDR	0	Blonder Tongue Laboratories	Communications Equipment	"5.86M
"
BDSI	0	BioDelivery Sciences International	Pharmaceuticals	"369.50M
"
BDSX	0	Biodesix	Diagnostics & Research	"122.83M
"
BDTX	0	Black Diamond Therapeutics	Biotechnology	"157.23M
"
BDX	0	"""Becton, Dickinson and Company"""	Health Care Equipment & Supplies	"72.18B
"
BECN	0	Beacon Roofing Supply	Trading Companies & Distributors	"3.87B
"
BEDU	0	Bright Scholar Education Holdings	Diversified Consumer Services	"116.81M
"
BELFA	0	Bel Fuse	Electronic Components	"160.06M
"
BELFB	0	Bel Fuse	"""Electronic Equipment, Instruments & C..."""	"163.71M
"
BENE	0	Benessere Capital Acquisition	Blank Check / SPAC	"152.07M
"
BEPC	0	Brookfield Renewable	Independent Power and Renewable Elect...	"5.84B
"
BERY	0	Berry Global Group	Containers & Packaging	"9.12B
"
BF.A	0	Brown-Forman	Beverages	"31.59B
"
BF.B	0	Brown-Forman	Beverages	"31.51B
"
BFAC	0	Battery Future Acquisition	Blank Check / SPAC	"361.78M
"
BFAM	0	Bright Horizons Family Solutions	Diversified Consumer Services	"7.71B
"
BFC	0	Bank First	Banks	"539.10M
"
BFI	0	BurgerFi International	Restaurants	"119.09M
"
BFIN	0	BankFinancial	Banks	"142.90M
"
BFLY	0	Butterfly Network	Medical Devices	"1.20B
"
BFRA	0	Biofrontera AG	Biotechnology	"80.82M
"
BFRI	0	Biofrontera	Drug Manufacturers-Specialty & Generic	"64.74M
"
BFS	0	Saul Centers	Equity Real Estate Investment Trusts...	"1.16B
"
BFST	0	Business First Bancshares	Banks	"560.60M
"
BGCP	0	BGC Partners	Capital Markets	"1.60B
"
BGI	0	Birks Group	Specialty Retail	"84.13M
"
BGNE	0	BeiGene	Biotechnology	"26.06B
"
BGRY	0	Berkshire Grey	Specialty Industrial Machinery	"824.57M
"
BGSF	0	BG Staffing	Professional Services	"156.06M
"
BGSX	0	Build Acquisition	Blank Check / SPAC	"243.13M
"
BH	0	Biglari Holdings	"""Hotels, Restaurants & Leisure"""	"374.64M
"
BH.A	0	Biglari Holdings	Restaurants	"374.42M
"
BHAC	0	Crixus BH3 Acquisition	Blank Check / SPAC	"248.50M
"
BHAT	0	Blue Hat Interactive Entertainment Technology	Entertainment	"19.65M
"
BHC	0	Bausch Health Companies	Pharmaceuticals	"9.00B
"
BHE	0	Benchmark Electronics	"""Electronic Equipment, Instruments & C..."""	"848.55M
"
BHG	0	Bright Health Group	Healthcare Plans	"1.85B
"
BHIL	0	Benson Hill	Agricultural Inputs	"585.81M
"
BHLB	0	Berkshire Hills Bancorp	Banks	"1.46B
"
BHR	0	Braemar Hotels & Resorts	Equity Real Estate Investment Trusts...	"347.03M
"
BHSE	0	Bull Horn Holdings	Blank Check / SPAC	"94.03M
"
BHVN	0	Biohaven Pharmaceutical Holding Co.	Biotechnology	"8.85B
"
BIGC	0	BigCommerce Holdings	IT Services	"2.42B
"
BILI	0	Bilibili	Entertainment	"13.74B
"
BIMI	0	BIMI International Medical	Machinery	"14.81M
"
BIO	0	Bio-Rad Laboratories	Life Sciences Tools & Services	"18.25B
"
BIOC	0	Biocept	Biotechnology	"48.67M
"
BIOL	0	BIOLASE	Health Care Equipment & Supplies	"60.85M
"
BIOS	0	BioPlus Acquisition	Blank Check / SPAC	"250.35M
"
BIOT	0	Biotech Acquisition Company	Blank Check / SPAC	"283.47M
"
BIOX	0	Bioceres Crop Solutions	Food Products	"526.13M
"
BIP	0	Brookfield Infrastructure Partners LP	Multi-Utilities	"18.04B
"
BIPC	0	Brookfield Infrastructure	Gas Utilities	"4.92B
"
BITE	0	Bite Acquisition	Blank Check / SPAC	"249.73M
"
BITF	0	Bitfarms	Capital Markets	"730.18M
"
BIVI	0	BioVie	Biotechnology	"79.88M
"
BJDX	0	Bluejay Diagnostics	Medical Devices	"30.23M
"
BJRI	0	BJ's Restaurants	"""Hotels, Restaurants & Leisure"""	"733.83M
"
BKCC	0	BlackRock Capital Investment	Capital Markets	"309.19M
"
BKD	0	Brookdale Senior Living	Health Care Providers & Services	"1.02B
"
BKE	0	The Buckle	Specialty Retail	"1.88B
"
BKEP	0	BlueKnight Energy Partners	"""Oil, Gas & Consumable Fuels"""	"155.69M
"
BKH	0	Black Hills	Multi-Utilities	"4.27B
"
BKI	0	Black Knight	IT Services	"11.53B
"
BKNG	0	Booking Holdings	Internet & Direct Marketing Retail	"101.24B
"
BKR	0	Baker Hughes Company	Energy Equipment & Services	"23.92B
"
BKSC	0	Bank of South Carolina	Banks	"111.88M
"
BKTI	0	BK Technologies	Communications Equipment	"41.36M
"
BKU	0	BankUnited	Banks	"3.62B
"
BKYI	0	BIO-key International	Software	"16.69M
"
BL	0	BlackLine	Software	"5.38B
"
BLBD	0	Blue Bird	Machinery	"507.45M
"
BLBX	0	Blackboxstocks	Software-Application	"28.95M
"
BLCM	0	Bellicum Pharmaceuticals	Biotechnology	"13.60M
"
BLCT	0	BlueCity Holdings	Internet Content & Information	"50.58M
"
BLD	0	TopBuild	Household Durables	"7.64B
"
BLDE	0	Blade Air Mobility	Airports & Air Services	"449.48M
"
BLDP	0	Ballard Power Systems	Electrical Equipment	"3.18B
"
BLEU	0	bleuacacia ltd.	Blank Check / SPAC	"332.58M
"
BLFS	0	BioLife Solutions	Health Care Equipment & Supplies	"1.27B
"
BLFY	0	Blue Foundry Bancorp	Banks-Regional	"417.85M
"
BLI	0	Berkeley Lights	Life Sciences Tools & Services	"674.75M
"
BLIN	0	Bridgeline Digital	Software	"20.78M
"
BLKB	0	Blackbaud	Software	"3.53B
"
BLL	0	Ball Corporation	Containers & Packaging	"31.28B
"
BLMN	0	Bloomin' Brands	"""Hotels, Restaurants & Leisure"""	"1.82B
"
BLND	0	Blend Labs	Software-Application	"1.97B
"
BLNG	0	Belong Acquisition	Blank Check / SPAC	"189.81M
"
BLPH	0	Bellerophon Therapeutics	Health Care Equipment & Supplies	"23.10M
"
BLRX	0	BioLineRx	Biotechnology	"91.33M
"
BLSA	0	BCLS Acquisition	Blank Check / SPAC	"185.27M
"
BLTS	0	Bright Lights Acquisition	Blank Check / SPAC	"284.63M
"
BLU	0	BELLUS Health	Biotechnology	"680.90M
"
BLUA	0	BlueRiver Acquisition	Blank Check / SPAC	"358.19M
"
BLX	0	Banco Latinoamericano de Comercio Exterior	Diversified Financial Services	"649.53M
"
BLZE	0	Backblaze	Software-Infrastructure	"413.59M
"
BMA	0	Banco Macro	Banks	"914.36M
"
BMAC	0	Black Mountain Acquisition	Blank Check / SPAC	"286.23M
"
BMAQ	0	Blockchain Moon Acquisition	Blank Check / SPAC	"137.03M
"
BMEA	0	Biomea Fusion	Biotechnology	"190.53M
"
BMRA	0	Biomerica	Health Care Equipment & Supplies	"54.75M
"
BMRC	0	Bank of Marin Bancorp	Banks	"591.77M
"
BMRN	0	BioMarin Pharmaceutical	Biotechnology	"16.42B
"
BMTX	0	BM Technologies	Software-Application	"112.42M
"
BNED	0	Barnes & Noble Education	Specialty Retail	"310.92M
"
BNFT	0	Benefitfocus	Software	"367.73M
"
BNIX	0	Bannix Acquisition	Blank Check / SPAC	"69.22M
"
BNL	0	Broadstone Net Lease	Equity Real Estate Investment Trusts...	"3.68B
"
BNNR	0	Banner Acquisition	Blank Check / SPAC	"185.63M
"
BNOX	0	Bionomics	Biotechnology	"81.56M
"
BNR	0	Burning Rock Biotech	Diagnostics & Research	"964.98M
"
BNSO	0	Bonso Electronics International	"""Electronic Equipment, Instruments & C..."""	"16.71M
"
BNTC	0	Benitec Biopharma	Biotechnology	"22.15M
"
BOAC	0	Bluescape Opportunities Acquisition	Blank Check / SPAC	"745.71M
"
BOAS	0	BOA Acquisition	Blank Check / SPAC	"282.90M
"
BOCN	0	Blue Ocean Acquisition	Blank Check / SPAC	"201.29M
"
BOH	0	Bank of Hawaii	Banks	"3.49B
"
BOKF	0	BOK Financial	Banks	"7.16B
"
BOLT	0	Bolt Biotherapeutics	Biotechnology	"143.55M
"
BOMN	0	Boston Omaha	Media	"779.49M
"
BON	0	Bon Natural Life	Packaged Foods	"28.32M
"
BORR	0	Borr Drilling	Oil & Gas Drilling	"306.46M
"
BOSC	0	BOS Better Online Solutions	Communications Equipment	"13.56M
"
BOTJ	0	Bank of the James Financial Group	Banks	"71.73M
"
BOXL	0	Boxlight	"""Technology Hardware, Storage & Periph..."""	"73.36M
"
BPAC	0	Bullpen Parlay Acquisition Company	Blank Check / SPAC	"286.64M
"
BPMC	0	Blueprint Medicines	Biotechnology	"4.66B
"
BPMP	0	BP Midstream Partners LP	"""Oil, Gas & Consumable Fuels"""	"1.88B
"
BPOP	0	Popular	Banks	"7.36B
"
BPRN	0	The Bank of Princeton	Banks	"204.25M
"
BPT	0	BP Prudhoe Bay Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"161.78M
"
BPTH	0	Bio-Path Holdings	Biotechnology	"24.70M
"
BPTS	0	Biophytis	Biotechnology	"59.99M
"
BQ	0	Boqii Holding	Specialty Retail	"68.32M
"
BR	0	Broadridge Financial Solutions	IT Services	"17.87B
"
BRAC	0	Broad Capital Acquisition	Blank Check / SPAC	"140.61M
"
BRBR	0	Bellring Brands	Personal Products	"958.15M
"
BRBS	0	Blue Ridge Bankshares	Banks	"342.25M
"
BRC	0	Brady	Commercial Services & Supplies	"2.67B
"
BRCN	0	Burcon NutraScience	Packaged Foods	"109.74M
"
BRD	0	Beard Energy Transition Acquisition	Blank Check / SPAC	"227.02M
"
BRDG	0	Bridge Investment Group Holdings	REIT-Diversified	"593.78M
"
BREZ	0	Breeze Holdings Acquisition	Blank Check / SPAC	"149.90M
"
BRFH	0	Barfresh Food Group	Food Products	"64.46M
"
BRFS	0	BRF S.A.	Food Products	"3.36B
"
BRG	0	Bluerock Residential Growth REIT	Equity Real Estate Investment Trusts...	"733.90M
"
BRID	0	Bridgford Foods	Food Products	"106.83M
"
BRIV	0	B. Riley Principal 250 Merger	Blank Check / SPAC	"214.42M
"
BRKH	0	BurTech Acquisition	Blank Check / SPAC	"344.64M
"
BRKL	0	Brookline Bancorp	Banks	"1.33B
"
BRKR	0	Bruker	Life Sciences Tools & Services	"10.19B
"
BRLI	0	Brilliant Acquisition	Blank Check / SPAC	"62.76M
"
BRLT	0	Brilliant Earth Group	Luxury Goods	"122.38M
"
BRMK	0	Broadmark Realty Capital	Mortgage Real Estate Investment Trus...	"1.23B
"
BRN	0	Barnwell Industries	"""Oil, Gas & Consumable Fuels"""	"24.65M
"
BROG	0	Brooge Energy	"""Oil, Gas & Consumable Fuels"""	"879.99M
"
BRP	0	BRP Group	Insurance	"1.73B
"
BRPM	0	B. Riley Principal 150 Merger	Blank Check / SPAC	"217.73M
"
BRQS	0	Borqs Technologies	"""Technology Hardware, Storage & Periph..."""	"56.90M
"
BRSP	0	BrightSpire Capital	REIT-Diversified	"1.21B
"
BRT	0	BRT Apartments	Equity Real Estate Investment Trusts...	"396.82M
"
BRTX	0	BioRestorative Therapies	Biotechnology	"14.08M
"
BRX	0	Brixmor Property Group	Equity Real Estate Investment Trusts...	"7.46B
"
BRY	0	Berry	"""Oil, Gas & Consumable Fuels"""	"718.46M
"
BRZE	0	Braze	Software-Application	"4.97B
"
BSAC	0	Banco Santander-Chile	Banks	"9.37B
"
BSAQ	0	Black Spade Acquisition Co.	Blank Check / SPAC	"181.13M
"
BSBK	0	Bogota Financial	Thrifts & Mortgage Finance	"145.29M
"
BSBR	0	Banco Santander Brasil	Banks	"46.67B
"
BSET	0	Bassett Furniture Industries	Household Durables	"174.86M
"
BSFC	0	Blue Star Foods	Packaged Foods	"54.31M
"
